x1          ,x2          ,x3          ,x4          ,c
0.007660279 ,0.652772359 ,-0.880566174,-1.134152855,class_1
-2.931730794,3.104056696 ,1.849392531 ,2.305836467 ,class_5
2.287136925 ,-6.024846654,3.229810831 ,-2.239482109,class_7
-0.123062341,0.025303195 ,0.054559565 ,-0.164636815,class_0
0.008065115 ,0.007719837 ,-0.00834827 ,0.292492063 ,class_0
-0.235604589,-0.194506833,1.832999254 ,1.022968163 ,class_2
0.28090209  ,0.183320216 ,-0.132707106,-0.040332576,class_0
-0.053716512,-0.008604193,0.105835094 ,4.509653256 ,class_4
-0.216484728,-0.669810487,-1.501287723,5.022540541 ,class_5
-0.493997697,0.499849581 ,-0.587379859,3.68272961  ,class_3
-0.154194524,-0.048918623,2.128865802 ,-2.400711898,class_3
-0.49104975 ,0.084801644 ,-0.31465938 ,-0.847601948,class_1
0.096026979 ,0.277733986 ,0.266526257 ,6.783757322 ,class_6
0.351836788 ,-0.321485644,3.251958439 ,3.556601129 ,class_4
0.917659018 ,-0.666341782,-0.297398157,3.447476263 ,class_3
0.034169513 ,0.047775571 ,0.630392791 ,1.561900743 ,class_1
-0.202342816,0.316203435 ,2.913234615 ,-3.021069395,class_4
-0.574620933,0.308223626 ,-1.547966195,-0.086207623,class_1
0.423406527 ,-0.22315262 ,-0.615639297,-3.323255527,class_3
-0.01132876 ,0.014959012 ,-0.039338822,-0.131705752,class_0
1.716970894 ,0.43134818  ,0.65691567  ,-1.382663098,class_2
-1.548978744,-0.525736564,-1.291178529,0.511071399 ,class_2
-1.312760866,1.109008134 ,1.729526582 ,4.607909793 ,class_5
1.786686073 ,0.26582005  ,-6.05603864 ,-4.685472599,class_7
0.003121577 ,0.034063686 ,-0.009793891,0.064837539 ,class_0
1.145813173 ,-4.118753603,2.533098381 ,-4.051524321,class_6
0.455220355 ,1.393340431 ,1.565346334 ,4.096678925 ,class_4
0.001655426 ,-0.065554651,0.851153804 ,-5.751430809,class_5
0.684119507 ,0.584925396 ,-1.157390462,0.644115911 ,class_1
0.20470313  ,0.066643783 ,6.558342775 ,2.439884189 ,class_7
-0.370916091,-0.061644504,1.912335646 ,-7.758557204,class_7
1.840463089 ,-4.085951459,-3.544194507,0.282929543 ,class_5
-0.571110809,-0.125446449,1.018057306 ,-1.692310745,class_2
0.675011116 ,0.173947269 ,-0.559903433,-1.181878178,class_1
-0.080837704,0.014579181 ,-5.340799545,-0.462734295,class_5
-0.928716112,-0.784272449,-1.404102137,0.630566509 ,class_1
-0.575367333,0.520512584 ,1.95714187  ,7.244741279 ,class_7
-0.149408999,-0.079187429,0.303897861 ,5.830930526 ,class_5
-1.420221213,-0.395929942,-0.781575126,-3.265998838,class_3
0.658909486 ,0.355908386 ,-5.792369519,-3.044467929,class_6
5.325827982 ,0.893504007 ,0.041725241 ,-3.679770095,class_6
-0.987357984,-0.36838726 ,1.129062818 ,-0.662266322,class_1
-0.248793331,-1.900873053,3.886010349 ,-4.829678553,class_6
0.272443419 ,0.48240561  ,-0.076513235,1.395542124 ,class_1
-0.032529516,1.132498952 ,-1.323829325,-1.412956735,class_2
-1.593661423,-0.721233616,0.859218607 ,-0.804131111,class_2
3.626737697 ,-0.727749169,-2.547945755,0.169787404 ,class_4
-0.922854326,-1.42915753 ,0.144114991 ,6.395924925 ,class_6
0.30534822  ,0.398073089 ,-0.410800944,-4.0143893  ,class_4
-0.455497644,1.966875834 ,2.573770318 ,3.359585306 ,class_4
-0.12498403 ,0.180520795 ,2.881193803 ,-0.585936527,class_2
1.397223771 ,-1.176568275,0.482353265 ,7.343149775 ,class_7
-0.470230634,1.034439283 ,-0.296676255,0.987767457 ,class_1
-0.699929458,0.046423053 ,-0.622095187,0.529079722 ,class_1
-0.390444671,-1.106650163,2.507619992 ,4.489299782 ,class_5
-0.165951922,0.088936237 ,1.860152748 ,0.406688183 ,class_1
0.078453918 ,-0.458289517,-1.131168535,2.440037877 ,class_2
-2.227465033,-2.183882989,1.09363786  ,-6.481409315,class_7
-1.521642671,0.31018527  ,-2.491742535,0.061048864 ,class_2
-1.50649556 ,0.541875947 ,3.722419955 ,4.663780545 ,class_6
-6.113711404,-2.394005477,2.829055481 ,-2.574110349,class_7
0.829395499 ,-0.129647575,-1.146467308,-0.498822345,class_1
-0.787359049,1.289420525 ,-1.770955368,1.829647127 ,class_2
1.780095123 ,-0.414167697,-4.519843405,3.050326532 ,class_5
